               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11411,            0.029064,            0.029537,          0.00053333,             0.28571,          0.00080683,          0.00026885,             0.10308,            0.018754,            0.027216,              0.0775,              0.0025,              0.0025
                   1,             0.11428,            0.028883,            0.029584,          0.00053333,             0.28571,          0.00051981,          0.00017541,             0.10261,            0.018807,            0.027295,            0.054092,           0.0050916,           0.0050916
                   2,             0.11333,            0.028831,            0.029239,          0.00055819,             0.28571,          0.00058004,          0.00018492,             0.10226,            0.018847,            0.027383,            0.030675,           0.0076746,           0.0076746
                   3,             0.10989,            0.030016,            0.029031,          0.00054478,             0.17857,          0.00070415,          0.00014164,             0.10223,            0.018847,            0.027478,           0.0099505,           0.0099505,           0.0099505
                   4,             0.10688,             0.03087,            0.028613,          0.00074269,             0.14286,          0.00042657,          9.4029e-05,             0.12173,            0.043425,               0.037,           0.0099505,           0.0099505,           0.0099505
                   5,              0.1057,            0.031266,            0.028575,          0.00054781,            0.035714,          0.00026612,          4.8072e-05,             0.12937,            0.078201,            0.077344,            0.009934,            0.009934,            0.009934
                   6,             0.10349,             0.03105,            0.027857,           0.0019579,            0.035714,           0.0011504,          0.00014122,                 nan,                 nan,             0.15996,           0.0099175,           0.0099175,           0.0099175
                   7,            0.099556,            0.030722,            0.027699,          0.00075065,             0.14286,          0.00038112,          5.8489e-05,                 nan,                 nan,            0.097754,            0.009901,            0.009901,            0.009901
                   8,            0.095452,             0.03199,            0.027403,          0.00055814,            0.071429,          0.00017146,          5.4609e-05,              0.1278,             0.16726,             0.11624,           0.0098845,           0.0098845,           0.0098845
                   9,            0.091632,            0.032758,            0.027006,          0.00080098,             0.24351,          0.00054691,          0.00015139,              0.1247,             0.27499,             0.15562,            0.009868,            0.009868,            0.009868
                  10,            0.091039,            0.031771,            0.027145,          0.00062181,              0.1526,           0.0004108,          0.00017685,                 nan,                 nan,            0.098117,           0.0098515,           0.0098515,           0.0098515
                  11,            0.085254,            0.029365,            0.025876,           0.0089304,            0.035714,           0.0061469,           0.0014216,                 nan,                 nan,            0.043481,            0.009835,            0.009835,            0.009835
                  12,            0.086733,            0.029169,             0.02627,            0.006486,             0.34091,           0.0042237,           0.0014975,                 nan,                 nan,            0.069302,           0.0098185,           0.0098185,           0.0098185
                  13,            0.082484,             0.02984,            0.025817,           0.0064188,             0.14286,           0.0058385,           0.0019431,             0.10699,            0.013996,            0.073709,            0.009802,            0.009802,            0.009802
                  14,            0.079222,            0.030415,            0.025648,             0.52023,                0.25,            0.096824,            0.028332,            0.082022,            0.022696,            0.024435,           0.0097855,           0.0097855,           0.0097855
                  15,            0.081027,            0.030294,             0.02561,             0.51173,            0.035714,            0.029722,           0.0089316,            0.085521,            0.024614,            0.023799,            0.009769,            0.009769,            0.009769
                  16,             0.07424,             0.02885,            0.025776,            0.025373,             0.44805,            0.039321,            0.016065,            0.076201,            0.014412,            0.024277,           0.0097525,           0.0097525,           0.0097525
                  17,            0.072316,            0.030303,            0.025571,           0.0078882,             0.10714,             0.05268,            0.010012,            0.087872,            0.016484,             0.02321,            0.009736,            0.009736,            0.009736
                  18,             0.07362,            0.026797,            0.025442,             0.99133,             0.10714,             0.15038,            0.064272,            0.089991,            0.010839,            0.033409,           0.0097195,           0.0097195,           0.0097195
                  19,             0.06976,            0.027499,            0.024912,             0.76709,             0.21429,             0.28819,             0.15663,            0.055601,            0.013529,            0.023767,            0.009703,            0.009703,            0.009703
                  20,            0.065804,            0.028374,            0.025275,             0.92825,             0.17857,             0.27379,             0.10685,            0.069159,            0.011205,            0.023581,           0.0096865,           0.0096865,           0.0096865
                  21,             0.06688,            0.024258,            0.024749,             0.80441,             0.17857,             0.26012,            0.091947,            0.062455,            0.011958,            0.023132,             0.00967,             0.00967,             0.00967
                  22,            0.065062,            0.025885,            0.024933,                   1,              0.2489,             0.33645,             0.21534,            0.053988,            0.012336,            0.022855,           0.0096535,           0.0096535,           0.0096535
                  23,            0.062452,            0.024428,            0.024137,             0.75597,                0.25,             0.27646,             0.12311,            0.050377,            0.012437,            0.022568,            0.009637,            0.009637,            0.009637
                  24,            0.058854,            0.025456,            0.024139,             0.87866,                0.25,             0.32567,             0.14394,            0.061758,            0.011066,            0.022592,           0.0096205,           0.0096205,           0.0096205
                  25,             0.05893,            0.023988,            0.023297,             0.78208,                0.25,             0.31653,             0.19485,            0.055404,            0.011177,            0.022565,            0.009604,            0.009604,            0.009604
                  26,            0.060892,            0.023164,            0.024425,             0.69807,             0.32143,             0.28746,             0.18833,            0.047649,            0.010913,            0.022476,           0.0095875,           0.0095875,           0.0095875
                  27,            0.055042,            0.024491,            0.024135,             0.83974,             0.32143,             0.39451,             0.13766,            0.056125,           0.0098295,            0.021936,            0.009571,            0.009571,            0.009571
                  28,            0.062875,            0.019754,            0.023573,             0.38527,             0.35714,             0.41942,             0.15932,            0.057646,           0.0096021,             0.02151,           0.0095545,           0.0095545,           0.0095545
                  29,            0.056962,            0.021049,            0.022819,             0.84378,             0.32143,             0.44536,             0.20187,            0.048755,           0.0097747,            0.020781,            0.009538,            0.009538,            0.009538
                  30,            0.055295,            0.020656,            0.022213,             0.90567,             0.35714,             0.46574,             0.24088,            0.050058,            0.010024,            0.020248,           0.0095215,           0.0095215,           0.0095215
                  31,             0.05927,            0.019452,            0.022094,              0.3053,             0.66558,             0.55737,             0.23222,            0.051527,           0.0095806,            0.020299,            0.009505,            0.009505,            0.009505
                  32,            0.054461,            0.019484,            0.021956,             0.46277,             0.79221,             0.56967,             0.35692,            0.043526,           0.0087042,            0.020085,           0.0094885,           0.0094885,           0.0094885
                  33,            0.052319,            0.020507,            0.023174,             0.34221,             0.79221,             0.62547,             0.27499,            0.049159,            0.008903,            0.021202,            0.009472,            0.009472,            0.009472
                  34,            0.052829,            0.019297,            0.021817,             0.49888,             0.75649,             0.72006,             0.36991,            0.044276,           0.0078478,            0.019092,           0.0094555,           0.0094555,           0.0094555
                  35,            0.050735,            0.016526,            0.021072,              0.5044,             0.79221,             0.68227,             0.48529,            0.040702,           0.0077538,            0.018201,            0.009439,            0.009439,            0.009439
                  36,            0.048641,            0.017341,            0.020119,             0.42208,             0.75649,             0.58317,              0.2439,            0.046371,           0.0081205,            0.017828,           0.0094225,           0.0094225,           0.0094225
